keyword_text,match_type,clicks,impressions,conversions,cost_eur,conversion_value,quality_score
online shoes,broad,206,7503,12,287.82,4123.04,5
casual shoes,exact,120,826,4,117.22,324.27,10
waterproof shoes,phrase,139,2681,4,584.28,1769.77,7
gym shoes,phrase,210,4547,16,186.1,833.49,5
shoe discount,broad,154,8775,9,409.79,1795.09,6
walking shoes,phrase,44,2098,4,190.81,996.86,5
puma running,exact,167,1763,14,332.98,3927.96,9
work shoes,phrase,53,883,3,185.47,764.56,5
trail running shoes,phrase,108,2764,10,239.87,4752.61,6
basketball shoes,phrase,126,3123,10,243.55,2699.25,7
tennis shoes,broad,350,9389,12,742.47,1340.55,5
puma running,exact,118,966,1,201.37,-372.08,9
marathon shoes,broad,114,3251,11,73.25,1885.61,6
shoe reviews,phrase,105,2688,1,127.33,191.09,6
soccer shoes,broad,146,6499,1,428.02,150.99,3
climbing shoes,broad,52,1757,4,193.31,845.47,4
casual shoes,phrase,102,2400,3,161.5,1172.64,7
narrow shoes,exact,43,582,0,111.58,0.0,8
skechers memory foam,phrase,120,3665,7,460.02,3211.68,8
shoe reviews,broad,192,9727,18,914.82,2362.89,6
formal shoes,exact,110,1179,2,265.36,957.17,7
climbing shoes,exact,80,573,1,102.5,454.9,8
reebok nano,exact,99,1251,6,102.92,2244.49,9
yoga shoes,phrase,78,1749,1,293.83,316.71,6
shoe sizes,exact,109,1194,9,291.41,3982.14,9
nike air max,exact,73,607,2,77.55,167.34,7
basketball shoes,broad,83,2222,1,256.89,73.28,3
shoe outlet,broad,45,5136,1,164.27,376.72,6
shoe shop,broad,38,1494,2,35.81,774.75,6
winter boots,exact,58,404,1,103.17,142.85,9
affordable shoes,broad,74,2629,7,204.49,2764.71,3
shoe sale,phrase,111,3283,4,176.26,476.29,6
shoe clearance,exact,58,554,2,254.51,144.21,7
affordable shoes,broad,19,,0,69.49,0.0,5
shoe discount,exact,152,1156,5,630.12,-9999.99,9
climbing shoes,phrase,101,2500,4,88.37,356.25,7
formal shoes,exact,53,763,4,94.39,1753.14,10
kids shoes,phrase,88,2075,3,  167.02  ,1035.11,5
shoe sale,broad,43,1776,1,65.22,465.89,5
gym shoes,exact,69,981,1,215.56,470.93,8
shoe comparison,phrase,138,3792,3,383.52,985.91,7
kids shoes,broad,62,7418,4,168.08,601.16,4
puma running,phrase,34,863,0,33.48,0.0,-5
soccer shoes,phrase,133,3086,11,93.2,2918.34,5
 gym shoes ,exact,166,1345,10,429.87,4422.35,7
men shoes,phrase,166,2649,1,341.48,304.88,7
 shoe colors ,broad,101,7693,7,181.63,615.32,6
running shoes,exact,48,476,2,132.85,983.27,7
training shoes,exact,105,1832,4,226.51,862.6,7
kids shoes,phrase,199,4730,14,925.34,891.07,8
shoe store,exact,279,1905,9,377.73,3717.32,7
narrow shoes,exact,94,1418,2,396.13,216.88,10
winter boots,phrase,209,4341,5,832.41,1342.82,8
shoe sizes,exact,56,819,0,28.64,0.0,10
shoe ratings,exact,155,1534,4,310.29,888.21,10
yoga shoes,exact,32,302,1,73.85,271.78,7
luxury shoes,exact,196,1343,3,416.05,1304.89,8
women sports shoes,phrase,179,2788,  4  ,773.7,394.98,8
basketball shoes,exact,60,1163,1,241.89,63.81,7
leather shoes,phrase,122,2135,9,237.13,1055.91,7
tennis shoes,broad,103,3381,8,326.67,2899.57,5
work shoes,broad,243,7860,14,699.02,4082.24,4
gym shoes,broad,25,1183,0,101.72,0.0,6
shoe reviews,broad,104,2788,4,235.23,1229.81,5
marathon shoes,phrase,80,3229,2,268.22,912.15,8
hiking shoes,broad,64,2624,2,223.36,790.37,6
brand shoes,phrase,159,3632,8,583.22,1493.18,8
trail running shoes,exact,152,1240,3,611.98,319.7,10
luxury shoes,exact,188,1966,6,401.17,976.43,8
summer sandals,broad,172,4786,15,117.76,2357.71,5
online shoes,phrase,90,1148,5,55.41,2225.03,8
yoga shoes,phrase,88,3127,8,364.26,3803.05,5
waterproof shoes,exact,155,1771,10,175.7,1498.37,7
shoe shop,broad,119,8809,7,295.01,1402.49,4
shoe sizes,phrase,68,1569,3,275.4,1035.68,6
men shoes,broad,63,6745,2,172.44,805.51,3
reebok nano,exact,52,699,3,107.49,1363.02,10
discount shoes,phrase,84,3069,4,409.29,822.44,6
summer sandals,broad,59,5787,2,200.18,184.27,6
affordable shoes,exact,160,1312,8,646.11,3032.22,8
converse all star,exact,46,483,0,219.43,0.0,8
brand shoes,exact,105,1973,5,407.24,985.46,9
tennis shoes,broad,45,3364,2,218.79,445.67,4
shoe store,phrase,95,3343,7,143.14,3399.18,5
wide fit shoes,broad,119,9037,7,465.55,1566.4,4
formal shoes,exact,165,1146,13,678.14,4650.31,9
trail running shoes,exact,232,1922,17,118.08,2116.27,7
trail running shoes,broad,199,5280,17,590.03,6312.9,4
winter boots,phrase,265,4976,11,684.67,962.43,7
discount  shoes,exact,161,1734,10,282.39,1090.15,9
women sports shoes,phrase,41,688,2,129.59,122.09,7
formal shoes,phrase,45,784,1,67.14,431.39,5
summer sandals,phrase,76,2506,4,299.98,1805.34,5
shoe shop,broad,236,6475,3,629.73,737.75,5
shoe promotion,exact,57,416,2,171.33,383.37,10
wide fit shoes,phrase,41,1758,4,177.48,1774.21,7
kids shoes,exact,42,550,2,154.49,566.6,7
waterproof shoes,phrase,144,3340,5,703.69,392.95,5
affordable shoes,exact,36,512,3,21.35,911.78,10
shoe comparison,exact,81,1456,4,52.21,1059.08,9
trail running shoes,phrase,148,3232,3,660.21,886.24,6
converse all star,exact,113,945,10,255.23,3922.88,7
shoe comparison,phrase,207,4144,7,332.34,479.57,5
training shoes,broad,324,9705,27,282.2,3976.95,6
shoe promotion,phrase,255,4855,18,788.51,1820.63,7
formal shoes,phrase,34,1256,2,37.54,369.67,5
shoe sizes,phrase,596.95,1325,1,154.48,454.8,5
shoe ratings,phrase,195,2502,13,210.48,4051.73,7
tennis shoes,phrase,173,2942,7,783.55,  723.89  ,5
shoe sale,phrase,279,3840,15,890.23,3283.5,8
 yoga shoes ,exact,90,612,8,423.88,3565.71,10
discount shoes,exact,23,459,2,83.84,411.28,8
shoe discount,phrase,242,3210,15,493.88,"1.400,50",6
shoe ratings,broad,109,6368,6,369.66,486.06,6
climbing shoes,phrase,128,4130,8,156.86,483.26,8
shoe ratings,broad,56,9630,1,182.01,497.17,3
shoe buying guide,broad,246,7578,11,874.29,3625.39,6
yoga shoes,phrase,60,1848,1,111.94,187.87,6
walking shoes,exact,151,1090,6,333.8,1131.04,9
waterproof shoes,exact,82,1521,92,302.79,1051.01,7
puma running,phrase,224,4580,19,165.45,8896.94,7
crossfit shoes,broad,25,2587,1,24.31,326.63,6
wide fit shoes,phrase,55,1715,3,254.36,958.53,6
narrow shoes,exact,268,1992,13,1278.35,3174.14,8
 luxury shoes ,phrase,72,3174,1,268.94,363.24,6
shoe brands,exact,153,1740,5,548.01,2064.61,9
climbing shoes,phrase,118,2116,1,491.31,155.83,6
climbing shoes,phrase,66,850,2,324.08,959.5,8
 luxury shoes ,phrase,251,4449,10,653.27,725.08,6
converse all star,exact,262,1920,17,707.77,-6793.49,9
soccer shoes,exact,77,872,4,154.81,1046.35,10
marathon shoes,broad,107,7776,8,218.91,2837.02,4
shoe reviews,phrase,174,4763,2,91.24,278.29,8
tennis shoes,phrase,200,2893,10,780.25,537.47,6
shoe buying guide,phrase,273,3855,13,1035.24,4510.27,8
leather shoes,exact,47,655,1,219.85,201.5,8
shoe comparison,broad,82,9826,1,335.24,429.86,3
women sports shoes,phrase,343,4578,26,899.63,11912.35,5
reebok nano,broad,219,6373,16,358.04,7055.57,6
affordable shoes,broad,179,7496,10,643.48,4049.23,5
men shoes,exact,199,1835,15,681.55,4786.43,9
crossfit shoes,phrase,303,4980,23,808.24,3131.52,5
shoe buying guide,broad,266,7763,23,808.5,7852.82,4
hiking shoes,exact,136,1123,11,505.93,5133.15,9
women sports shoes,exact,151,1044,4,152.28,1831.31,10
nike air max,exact,104,1809,9,243.99,845.34,8
shoe discount,phrase,179,#4747#,15,191.88,5637.43,6
climbing shoes,exact,140,1459,11,391.49,5079.86,9
shoe comparison,exact,86,1709,3,140.76,1471.18,10
reebok nano,broad,16,1293,0,76.65,0.0,4
online shoes,broad,29,2683,1,"309,68",411.8,6
skechers memory foam,broad,107,3663,9,477.32,771.51,6
shoe sale,broad,206,7550,11,466.92,4660.38,6
yoga shoes,broad,58,6248,"4,00",176.74,540.71,4
running shoes,broad,308,9385,442.45,1275.79,8230.12,4
shoe comparison,phrase,100,4335,8,477.5,3134.04,5
shoe sale,exact,158,1825,10,647.65,3180.14,9
online shoes,broad,94,4929,4,151.91,956.47,6
brand shoes,exact,-81,1028,2,295.93,578.12,9
discount shoes,phrase,26,934,1,85.43,210.82,5
women sports shoes,broad,45,2141,0,74.12,0.0,5
shoe discount,phrase,153,2867,8,150.91,1308.97,8
men shoes,phrase,104,2366,4,141.61,1825.36,7
trail running shoes,phrase,154,3444,6,238.56,1281.27,7
affordable shoes,exact,26,364,2,122.4,847.6,8
waterproof shoes,exact,226,1979,16,470.45,3280.11,7
gym shoes,exact,63,657,4,51.12,1680.13,8
nike air max,exact,156,1096,3,107.14,1497.43,  9  
women sports shoes,phrase,69,1267,1,88.75,201.21,6
yoga shoes,phrase,261,3573,13,9999999.99,6087.95,5
shoe buying guide,exact,115,1953,8,351.53,3246.01,9
climbing shoes,phrase,329,4944,23,345.99,9885.83,7
puma running,broad,147,8183,6,450.03,2374.15,5
puma running,phrase,222,4847,7,283.96,981.8,6
converse all star,exact,63,537,1,170.89,498.93,7
nike air max,phrase,18,506,0,48.98,0.0,8
summer sandals,exact,16,188,0,22.88,0.0,9
converse all star,phrase,104,4229,6,282.41,535.56,8
kids shoes,phrase,42,1222,2,24.9,251.48,6
summer sandals,phrase,296,4031,24,255.16,9479.09,6
shoe sizes,broad,74,8520,2,42.13,261.87,4
trail running shoes,broad,12,2410,0,31.76,0.0,5
work shoes,phrase,243,4104,16,648.18,2036.29,6
shoe brands,exact,165,1249,4,599.45,1385.95,7
training shoes,phrase,22,754,1,59.16,210.54,5
shoe colors,exact,152,1492,5,193.07,967.43,9
adidas ultraboost,broad,102,9292,8,211.39,2310.01,3
running shoes,phrase,71,999,0,202.88,0.0,8
reebok nano,broad,357,9208,22,1436.51,7221.52,6
discount shoes,exact,223,1516,5,487.98,1278.73,8
shoe store,phrase,49,909,3,93.78,1245.14,7
converse all star,broad,82,9774,4,393.2,690.29,4
converse all star,broad,164,4643,5,259.92,919.11,5
converse all star,exact,174,1917,6,366.14,1978.42,8
reebok  nano,exact,150,1586,6,249.6,2142.74,10
online shoes,exact,31,589,0,128.51,0.0,8
basketball shoes,broad,66,4638,"4,00",295.38,745.71,6
shoe colors,phrase,32,577,1,18.45,423.81,7
 shoe outlet ,phrase,120,3107,11,64.34,1993.24,7
walking shoes,exact,109,1053,7,511.57,1588.99,10
shoe reviews,broad,125,3951,9,259.24,"506,06",4
skechers memory foam,phrase,176,3745,8,555.81,2377.44,8
narrow shoes,phrase,216,3402,5,472.18,800.98,5
gym shoes,exact,191,1304,13,926.2,5654.22,8
affordable shoes,phrase,37,649,2,111.04,889.68,7
women sports shoes,exact,21,254,1,60.98,338.01,9
puma running,phrase,45,2170,0,107.57,0.0,8
leather shoes,broad,232,9937,15,984.68,3821.86,6
women sports shoes,exact,127,1066,9,561.28,3351.86,7
shoe discount,phrase,334,4376,"4,00",800.86,769.8,7
 shoe ratings ,broad,80,4090,6,60.2,1381.12,4
walking shoes,exact,101,1394,3,221.72,343.56,10
hiking shoes,broad,257,7947,22,193.41,3878.93,4
basketball shoes,phrase,69,3388,4,145.3,1974.6,7
puma running,phrase,72,1428,3,106.48,636.41,5
kids shoes,phrase,273,4047,26,1062.94,4193.2,6
online shoes,phrase,116,4735,7,488.86,1094.48,7
skechers memory foam,exact,94,937,6,318.97,1233.66,8
online shoes,broad,290,9204,19,374.52,5694.75,3
luxury shoes,exact,75,727,2,196.04,550.37,8
shoe brands,phrase,193,4845,9,395.96,3594.9,6
shoe brands,broad,179,5582,6,676.6,758.61,5
shoe colors,exact,142,1176,9,313.11,761.18,8
hiking shoes,phrase,115,3890,7,77.11,3463.1,7
running shoes,phrase,131,4709,4,603.06,1707.39,8
formal shoes,broad,162,7010,13,809.04,2755.3,5
shoe buying guide,broad,24,2289,0,95.31,0.0,3
shoe shop,broad,32,1107,0,58.43,0.0,5
VANS SNEAKERS,broad,33,4235,1,80.75,153.75,6
yoga shoes,broad,154,9024,7,329.9,"97,95",5
hiking shoes,phrase,33,1482,3,163.45,1488.41,8
shoe sale,broad,108,7846,4,320.51,1450.83,3
kids shoes,phrase,250,3516,7,545.39,2477.59,6
narrow shoes,broad,43,7407,3,108.57,495.07,5
waterproof shoes,phrase,36,766,3,88.97,1398.94,8
trail running shoes,exact,19,216,1,18.83,440.27,10
shoe clearance,exact,122,1813,644.8,522.95,463.18,10
tennis  shoes,phrase,174,2705,16,785.04,7886.4,8
shoe ratings,broad,85,2215,7,247.34,1938.11,245.83
vans sneakers,broad,147,3900,6,328.03,1075.51,4
shoe brands,exact,57,719,4,70.21,1601.53,8
converse all star,exact,62,1009,2,99.64,610.47,7
training shoes,exact,68,695,6,"
235.48
",737.35,9
shoe store,exact,39,403,3,134.93,1331.38,7
summer sandals,exact,29,354,2,140.09,112.16,10
converse all star,broad,173,5335,@6@,709.66,2490.56,4
shoe models,phrase,290,4636,12,251.55,4482.89,8
women sports shoes,broad,182,6645,13,191.81,5663.17,4
tennis shoes,exact,27,248,1,92.52,418.57,10
winter boots,broad,12,1040,0,59.91,0.0,3
formal shoes,phrase,243,3978,2,307.67,466.54,7
puma running,phrase,109,3573,6,333.35,2616.08,5
nike air max,phrase,215,3104,14,877.38,6432.54,8
puma running,broad,80,5071,4,330.62,1198.71,"
3
"
winter boots,phrase,116,1842,7,144.72,2875.05,8
basketball shoes,phrase,155,2215,8,595.86,3693.84,7
VANS SNEAKERS,phrase,32,1484,2,153.27,138.89,8
summer sandals,phrase,98,1354,1,106.28,491.19,7
climbing shoes,broad,316,8335,6,1298.16,2493.82,6
online shoes,exact,43,547,0,167.71,0.0,10
shoe buying guide,exact,90,839,7,163.02,1554.06,8
shoe shop,broad,186,4765,15,209.76,1061.31,4
discount shoes,phrase,209,3192,20,248.22,4268.56,6
leather shoes,exact,236,1637,11,393.03,1890.83,10
casual shoes,phrase,224,4536,5,422.84,1798.88,5
casual shoes,broad,90,3860,7,82.49,634.92,5
training shoes,exact,61,1071,5,158.66,2345.67,7
yoga shoes,broad,44,2399,2,105.9,911.83,4
shoe sizes,phrase,169,2731,15,485.9,6347.02,5
leather shoes,exact,99,1536,9,139.44,2431.47,10
formal shoes,phrase,238,4239,23,1001.6,8088.64,8
men shoes,broad,45,3569,4,138.11,580.8,5
climbing shoes,exact,122,1786,12,73.18,3570.84,8
work shoes,phrase,16,544,1,16.98,167.9,7
crossfit shoes,exact,100,1893,8,399.53,2316.74,7
yoga shoes,phrase,198,2510,11,669.41,4679.17,8
basketball shoes,phrase,91,1905,1000000,278.27,389.71,7
tennis shoes,exact,100,1194,7,209.93,1228.6,8
wide fit shoes,broad,67,1944,5,258.5,1711.76,3
skechers memory foam,broad,25,1053,0,79.58,0.0,3
narrow shoes,exact,186,1953,5,598.36,574.36,8
yoga  shoes,broad,172,8336,5,734.97,754.72,6
summer sandals,phrase,39,677,2,44.03,961.73,5
adidas ultraboost,broad,63,1887,1,63.85,239.5,5
adidas ultraboost,broad,73,8868,5,161.17,2434.02,3
affordable shoes,phrase,53,1824,-100,146.81,0.0,6
trail running shoes,phrase,82,3661,5,265.06,664.46,6
puma running,phrase,45,637,1,42.4,245.24,8
women sports shoes,exact,208,1417,2,530.0,469.97,8
shoe shop,broad,28,1212,0,64.19,0.0,6
formal shoes,exact,61,692,5,279.52,847.96,9
work shoes,broad,147,7764,10,607.59,907.64,4
shoe brands,broad,244,8129,16,854.78,1091.54,6
kids shoes,broad,133,7432,8,81.24,2107.24,4
women sports shoes,phrase,33,1303,0,24.9,0.0,7
nike air max,phrase,124,3573,3,201.11,772.21,8
shoe reviews,exact,150,1180,333.28,304.47,1357.91,9
summer sandals,exact,64,498,6,288.75,377.43,8
shoe buying guide,phrase,107,4277,9,95.73,2726.55,6
soccer shoes,phrase,172,2402,13,468.44,5394.75,8
shoe models,phrase,  116  ,3316,6,217.17,635.83,6
summer sandals,exact,255,1813,24,652.7,11784.42,7
affordable shoes,phrase,105,1684,2,113.06,112.48,6
formal shoes,broad,111,5956,6,234.34,309.96,-3
gym shoes,broad,43,1607,2,211.16,566.2,5
shoe clearance,broad,85,6447,4,164.58,336.03,5
walking shoes,phrase,	168	,3416,16,225.88,5800.02,6
shoe colors,exact,191,1931,10,900.37,4435.52,8
skechers memory foam,exact,166,1904,15,818.44,1581.06,8
reebok nano,broad,236,7099,22,734.99,6880.86,4
shoe sale,exact,87,,7,62.96,1302.94,8
shoe ratings,phrase,36,525,3,-,1237.6,7
online shoes,phrase,60,995,4,67.65,1510.57,8
converse all star,broad,42,1988,1,131.3,102.5,6
women sports shoes,phrase,88,3071,6,316.91,303.22,7
gym shoes,phrase,69,2945,2,221.57,350.85,7
shoe reviews,broad,51,9732,3,114.97,597.39,5
discount shoes,broad,212,5831,4,1023.19,1650.79,6
discount shoes,broad,164,7249,19.41,344.23,2129.47,5
shoe reviews,phrase,136,4527,2,612.76,635.02,5
waterproof shoes,phrase,289,4023,11,1370.28,2078.86,5
shoe reviews,phrase,52,813,3,75.0,259.67,7
kids shoes,exact,133,"1.882,00",4,198.31,1067.31,9
casual shoes,exact,109,1292,10,64.9,2437.45,10
discount shoes,phrase,237,4316,20,970.87,3296.46,6
online shoes,phrase,189,2988,16,227.65,4334.64,5
yoga shoes,phrase,278,3774,24,624.47,7229.59,8
walking shoes,broad,75,"2.565,00",1,91.89,269.53,4
shoe colors,exact,191,1923,10,201.5,3979.1,10
converse all star,phrase,219,2843,3,790.23,718.15,7
nike air max,phrase,173,3966,11,160.18,3986.69,7
shoe sale,phrase,129,2705,8,246.64,808.64,6
 waterproof shoes ,broad,21,1960,1,29.24,273.52,4
walking shoes,exact,15,259,1,18.81,453.41,7
nike air max,broad,97,4373,5,220.33,2049.57,6
shoe sale,exact,207,1729,14,694.39,6468.3,10
tennis shoes,exact,33,459,0,50.47,0.0,7
adidas ultraboost,broad,52,1600,4,214.71,460.62,3
nike air max,phrase,79,1782,3,66.05,854.44,6
wide fit shoes,phrase,-100,2920,9,319.01,4376.32,8
shoe shop,broad,50,7658,1,"851,78",451.33,5
luxury shoes,broad,36,6061,1,122.49,165.46,3
yoga shoes,phrase,17,616,0,11.6,0.0,6
hiking shoes,broad,180,6769,5,392.54,1325.57,5
women sports shoes,broad,27,4231,1,106.4,285.68,4
hiking shoes,phrase,57,952,2,74.15,277.2,
luxury shoes,broad,147,4523,5,683.74,2143.36,4
hiking shoes,exact,183,1536,17,874.4,4117.61,10
gym shoes,exact,40,330,3,60.09,155.09,10
yoga shoes,broad,999999,9872,21,342.89,5653.99,5
reebok nano,broad,28,4056,0,42.97,0.0,4
men shoes,phrase,182,4363,16,581.43,3368.21,5
luxury shoes,exact,60,1172,2,130.64,202.16,10
shoe store,exact,101,854,4,171.87,397.61,8
casual shoes,phrase,75,1672,2,351.48,813.87,5
climbing shoes,broad,152,6109,13,321.07,4274.6,4
reebok nano,broad,220,9885,14,1019.36,1779.14,6
kids shoes,exact,68,895,3,214.34,1192.79,8
tennis shoes,broad,123,9655,9,469.27,1473.44,5
kids shoes,broad,-139,6973,2,519.44,640.13,5
shoe outlet,phrase,147,2244,3,109.69,1389.78,7
yoga shoes,broad,108,4263,3,380.89,334.94,6
hiking shoes,phrase,149,1882,10,533.67,808.06,5
gym shoes,phrase,118,2302,7,310.89,3071.75,7
narrow shoes,exact,132,1542,4,476.87,1705.12,7
shoe reviews,phrase,55,807,1,211.31,290.11,8
shoe comparison,broad,20,1398,1,15.45,420.42,3
shoe store,broad,36,2371,0,168.43,0.0,3
marathon shoes,phrase,N/A,3268,4,294.17,1982.8,5
 shoe discount ,broad,202,6845,15,309.16,3087.82,4
shoe promotion,phrase,189,4632,14,683.01,2936.28,7
shoe reviews,exact,106,1001,2,152.49,367.97,7
work shoes,phrase,241,4903,16,346.49,3326.73,7
 soccer shoes ,phrase,234,3543,22,963.12,5413.2,5
shoe discount,broad,53,5424,3,97.89,1321.5,5
shoe brands,phrase,28,673,0,120.59,0.0,7
nike air max,broad,96,5319,2,246.18,948.55,5
shoe promotion,broad,74,8303,  5  ,279.68,956.05,6
basketball shoes,exact,116,1201,10,236.11,1408.69,9
adidas ultraboost,phrase,146,,8,345.84,3175.62,5
hiking shoes,broad,30,1504,1,104.41,464.77,5
marathon shoes,phrase,24,1201,0,96.7,  0.0  ,5
shoe sizes,broad,48,5549,4,66.25,1970.67,5
shoe sizes,phrase,62,1403,2,75.39,948.44,7
shoe outlet,phrase,181,2920,5,533.29,588.07,6
skechers memory foam,phrase,103,  1345  ,5,442.85,1779.75,5
converse all star,phrase,191,3180,13,236.74,5225.62,5
hiking shoes,exact,51,688,2,60.3,721.74,10
gym shoes,phrase,139,1772,3,389.35,565.94,5
gym shoes,broad,91,9561,7,314.26,1478.84,6
soccer shoes,broad,47,2906,1,42.15,488.59,3
shoe promotion,exact,11,210,0,15.88,0.0,8
gym shoes,exact,93,1297,6,63.56,673.73,7
skechers memory foam,broad,28,1199,2,29.13,608.5,"
3
"
shoe outlet,exact,179,1462,9,237.06,2391.58,9
narrow shoes,broad,152,4576,12,128.35,  3080.46  ,5
discount shoes,exact,24,315,0,13.67,0.0,8
winter boots,broad,116,4071,5,353.12,1466.37,5
yoga shoes,phrase,133,1679,8,342.53,1947.95,8
shoe buying guide,phrase,209,4698,7,440.62,407.7,6
kids shoes,broad,158,8679,10,244.66,2078.7,3
work shoes,broad,179,9611,15,142.96,3246.18,6
shoe store,broad,313,8353,10,1072.11,4967.22,5
shoe brands,exact,267,1907,16,735.58,2283.53,9
trail running shoes,exact,20,143,1,71.77,271.03,7
narrow shoes,broad,37,1209,0,60.12,0.0,6
converse all star,exact,187,  1930  ,3,870.78,474.4,10
running shoes,broad,111,4253,6,189.27,918.88,3
summer sandals,exact,2236,1236,2,109.42,673.98,9
shoe reviews,broad,77,8638,3,171.33,1108.3,3
men shoes,phrase,76,3772,6,297.36,2584.18,6
affordable shoes,broad,204,6323,12,816.64,2796.63,3
kids shoes,broad,111,2980,10,513.11,1372.87,6
 work shoes ,phrase,139,1838,2,582.54,185.11,6
leather shoes,exact,110,1363,6,401.74,536.23,10
shoe reviews,broad,96,2978,5,292.23,279.9,6
formal shoes,phrase,179,3410,9,131.13,3692.33,5
leather shoes,exact,144,1352,3,543.03,"542,39",10
formal shoes,phrase,203,2585,4,484.3,583.45,6
yoga shoes,exact,101,1470,2,131.99,972.53,10
gym shoes,broad,203,8517,5,359.66,960.81,5
shoe sale,phrase,30,1052,1,-50.12,350.71,8
SUMMER SANDALS,broad,75,4711,2,243.1,139.2,3
winter boots,phrase,124,1946,7,219.26,1429.07,5
training shoes,phrase,216,4656,8,302.84,2119.6,6
shoe shop,phrase,269,4313,16,891.36,5634.23,6
marathon shoes,phrase,179,4317,12,410.93,3262.32,5
climbing shoes,phrase,111,2324,2,295.41,672.54,8
shoe store,broad,34,4011,3,100.53,478.25,4
online shoes,exact,77,804,2,-9999.99,648.54,8
shoe sale,phrase,194,4721,11,880.99,5081.08,7
shoe models,exact,22,298,0,20.74,-0.0,7
shoe outlet,broad,164,8964,12,117.66,758.7,6
running shoes,phrase,295,3727,28,253.09,6866.63,8
shoe store,phrase,85,1783,4,411.64,1791.76,5
vans sneakers,exact,77,958,3,49.66,904.13,8
climbing shoes,phrase,292,4463,4,571.97,628.62,6
shoe clearance,phrase,253,3535,20,829.33,2951.4,5
trail running shoes,phrase,73,1549,3,96.95,505.41,7
shoe sizes,exact,184,1322,13,825.6,3843.79,10
shoe reviews,phrase,225,3566,10,541.18,1100.45,5
trail running shoes,phrase,112,3457,8,439.85,2559.13,7
shoe comparison,broad,175,6306,4,626.2,322.63,3
marathon shoes,phrase,125,3396,4,489.03,1957.31,8
women sports shoes,phrase,137,3265,9,327.71,1949.36,7
shoe outlet,phrase,79,2650,1,110.26,284.57,7
walking shoes,broad,58,6094,1,229.45,186.79,6
shoe buying guide,phrase,62,1026,3,293.83,278.85,7
shoe discount,phrase,86,2818,5,109.43,923.66,5
crossfit shoes,exact,79,1492,7,99.79,1853.41,9
narrow shoes,broad,  267  ,6774,17,1031.45,6001.62,3
gym shoes,phrase,48,767,3,91.41,1310.71,7
shoe promotion,phrase,190,3566,10,185.82,733.05,5
shoe outlet,phrase,86,3646,4,119.53,1752.01,5
shoe reviews,exact,72,861,5,-9999.99,2434.68,9
vans sneakers,phrase,330,4954,29,"180,00",9746.97,5
kids shoes,phrase,178,4324,	5	,823.8,869.26,8
NIKE AIR MAX,phrase,145,2378,2,459.74,632.04,7
work shoes,exact,22,298,2,66.92,358.73,7
SHOE DISCOUNT,phrase,76,3388,3,184.04,1024.32,8
shoe outlet,exact,158,1896,7,582.68,1163.31,7
shoe discount,exact,99,1038,8,383.67,2846.29,N/A
climbing shoes,exact,66,867,1,195.63,  53.64  ,8
basketball shoes,exact,131,1550,10,313.94,1191.07,9
wide fit shoes,broad,146,6830,3,217.42,931.08,6
women sports shoes,broad,116,3640,5,196.65,1028.64,4
climbing shoes,broad,53,4126,2,181.6,807.47,4
discount shoes,phrase,"287",4171,26,525.47,10977.25,7
shoe outlet,phrase,279,3798,6,1161.89,367.57,7
formal shoes,broad,32,2867,1,109.9,9999999.99,6
waterproof shoes,phrase,38,1700,2,138.09,660.97,8
shoe reviews,broad,118,3262,999999,498.32,916.24,4
work shoes,exact,133,1630,3,117.27,579.72,7
luxury shoes,phrase,258,3448,7,567.47,3189.2,-5
men shoes,broad,66,2364,3,288.27,851.81,5
climbing shoes,exact,27,342,2,90.77,212.45,10
shoe brands,phrase,29,670,0,70.19,0.0,7
vans sneakers,phrase,104,1530,4,92.36,501.96,6
nike air max,broad,244,6321,23,221.55,3025.67,6
summer sandals,phrase,54,899,3,58.28,1154.14,6
kids shoes,phrase,43,804,4,100.73,236.39,7
shoe brands,phrase,270,3454,17,916.18,5232.54,7
waterproof shoes,phrase,98,999999,2,331.81,188.32,6
kids shoes,exact,65,957,4,142.2,1983.9,7
hiking shoes,broad,91,2784,9,200.3,3388.07,-6
shoe buying guide,broad,48,6203,4,62.86,1101.09,3
converse all star,exact,57,574,4,67.63,1355.2,8
shoe models,broad,121,3294,131,583.1,2909.4,6
reebok nano,broad,227,5928,3,364.45,644.71,6
shoe brands,exact,77,1170,4,184.8,799.49,8
waterproof shoes,broad,186,6051,13,860.58,6317.02,4
shoe sizes,phrase,36,574,3,102.15,227.3,7
trail running shoes,exact,111,904,2,143.2,337.44,7
yoga shoes,exact,54,506,2,66.93,616.95,8
marathon shoes,phrase,87,2324,2,272.42,863.9,7
trail running shoes,exact,576.29,141,0,33.91,0.0,7
shoe clearance,broad,225,7487,8,802.63,3752.15,5
tennis shoes,phrase,182,2747,13,470.68,2250.02,7
work shoes,phrase,201,3305,18,478.21,6628.21,6
luxury shoes,broad,55,3150,4,222.61,430.82,6
shoe sizes,phrase,123,4609,10,421.48,866.17,7
shoe models,phrase,168,2259,2,833.74,914.65,5
casual shoes,exact,101,1624,5,206.27,1995.89,7
crossfit shoes,phrase,37,725,2,56.7,265.28,6
men shoes,broad,114,3792,10,332.32,2258.17,5
discount shoes,broad,55,2278,3,179.22,1380.04,
discount shoes,broad,122,7495,7,108.29,2744.81,3
climbing shoes,broad,342,9287,23,1498.32,5473.56,4
